food_name,calories,protein,carbs,fats,estimated_gi,glycemic_load,food_type,meal_type
Palak Paneer,175.0,10.5,11.67,12.83,15.0,1.7505000000000002,Veg,Breakfast
Chole Bhature,355.0,11.83,53.25,17.75,50.0,26.625,Veg,Breakfast
Butter Chicken,320.0,22.86,9.14,18.29,0.0,0.0,Non-Veg,Lunch/Dinner
Dal Tadka,233.0,13.98,40.78,5.82,10.0,4.078,Veg,Lunch/Dinner
Masala Dosa,336.0,6.72,48.0,11.52,50.0,24.0,Veg,Breakfast
Chicken Biryani,455.0,25.28,55.61,15.17,50.0,27.805,Non-Veg,Breakfast
Samosa,230.0,4.6,27.6,9.2,85.0,23.46,Veg,Breakfast
Paneer Tikka,182.0,15.17,8.09,10.11,17.5,1.4157499999999998,Non-Veg,Lunch/Dinner
Aloo Gobi,154.0,5.13,20.53,6.16,62.5,12.83125,Veg,Breakfast
Mutton Rogan Josh,385.0,27.43,9.62,24.06,0.0,0.0,Non-Veg,Lunch/Dinner
Idli,176.0,5.87,35.2,4.69,85.0,29.920000000000005,Veg,Breakfast
Upma,256.0,7.68,51.2,10.24,55.0,28.16,Veg,Breakfast
Chicken Korma,328.0,23.43,11.25,18.74,0.0,0.0,Non-Veg,Breakfast
Chana Masala,263.0,10.52,42.08,7.36,42.0,17.6736,Veg,Breakfast
Vegetable Biryani,342.0,9.12,62.7,11.4,48.0,30.096000000000004,Veg,Breakfast
Methi Thepla,225.0,6.14,30.68,9.2,45.0,13.806,Veg,Breakfast
Chicken Tikka,230.0,28.5,5.0,10.0,0.0,0.0,Non-Veg,Breakfast
Aloo Paratha,314.0,5.38,44.86,8.97,70.0,31.402,Veg,Breakfast
Keema Matar,320.0,22.86,9.14,18.29,48.0,4.3872,Non-Veg,Breakfast
Palak Chaat,183.0,5.08,25.42,7.12,62.0,15.760400000000002,Veg,Breakfast
Malai Kofta,407.0,8.14,15.26,25.95,55.0,8.392999999999999,Veg,Breakfast
Hyderabadi Biryani,514.0,31.29,67.04,20.11,50.0,33.52,Non-Veg,Lunch/Dinner
Saag Aloo,174.0,5.44,27.19,6.52,10.0,2.7190000000000003,Veg,Breakfast
Chicken Shawarma,342.0,27.85,14.66,17.59,20.0,2.932,Non-Veg,Breakfast
Methi Paratha,236.0,6.16,35.91,8.21,35.0,12.568499999999998,Veg,Breakfast
Kadhai Paneer,290.0,11.6,19.33,17.4,10.0,1.933,Veg,Breakfast
Masoor Dal,195.0,13.0,32.5,3.25,27.5,8.9375,Veg,Breakfast
Chicken Pakora,295.0,19.67,19.67,14.75,0.0,0.0,Non-Veg,Breakfast
Chana Pulao,338.0,11.59,48.29,9.66,65.0,31.3885,Veg,Lunch/Dinner
Prawn Curry,393.0,29.48,12.41,25.86,0.0,0.0,Non-Veg,Lunch/Dinner
Paneer Butter Masala,390.0,10.54,21.08,26.88,15.0,3.162,Veg,Breakfast
Dhokla,180.0,7.2,36.0,4.8,85.0,30.6,Veg,Breakfast
Palak Chana,260.0,12.48,36.4,8.32,42.0,15.288,Veg,Breakfast
Vegetable Pulao,304.0,9.73,60.8,9.73,62.5,38.0,Veg,Breakfast
Beef Curry,332.0,23.66,6.64,16.6,0.0,0.0,Non-Veg,Lunch/Dinner
Kachori,232.0,5.27,36.91,8.44,90.0,33.218999999999994,Veg,Breakfast
Khichdi,234.0,11.7,40.95,7.02,0.0,0.0,Veg,Breakfast
Butter Naan,300.0,7.0,50.0,8.0,70.0,35.0,Veg,Breakfast
Dal Makhani,330.0,14.14,42.43,9.43,10.0,4.243,Veg,Breakfast
Mutton Biryani,482.0,24.1,53.02,17.35,50.0,26.51,Non-Veg,Lunch/Dinner
Chutney Sandwich,165.0,5.5,27.5,5.5,40.0,11.0,Veg,Breakfast
Sev Puri,208.0,4.62,34.67,9.24,85.0,29.469500000000004,Veg,Breakfast
Shahi Paneer,435.0,11.6,17.4,24.65,20.0,3.48,Veg,Breakfast
Goat Curry,385.0,26.95,11.55,24.06,0.0,0.0,Non-Veg,Lunch/Dinner
Dahi Puri,195.0,4.87,27.3,6.82,85.0,23.205,Veg,Breakfast
Pesarattu,272.0,10.88,43.52,8.7,35.0,15.232,Veg,Breakfast
Lassi,174.0,5.8,29.0,6.96,25.0,7.25,Veg,Breakfast
Bhindi Masala,159.0,3.74,18.71,6.55,17.5,3.2742500000000003,Veg,Breakfast
Paneer Lababdar,357.0,15.3,18.36,25.5,0.0,0.0,Veg,Lunch/Dinner
Chicken Vindaloo,358.0,23.73,8.33,18.32,0.0,0.0,Non-Veg,Breakfast
Shahi Tukda,364.0,6.24,41.6,20.8,65.0,27.04,Veg,Breakfast
Lauki Kofta,302.0,10.07,25.17,18.12,0.0,0.0,Veg,Unknown
Chana Dal,241.0,15.34,38.34,5.48,10.0,3.834000000000001,Veg,Breakfast
Masala Puri,367.0,8.39,52.43,15.73,85.0,44.5655,Veg,Breakfast
Aloo Methi,183.0,5.08,25.42,7.12,10.0,2.5420000000000003,Veg,Breakfast
Palak Paratha,245.0,6.39,37.28,9.59,70.0,26.096,Veg,Breakfast
Methi Malai Murg,374.0,11.81,13.78,25.1,10.0,1.378,Non-Veg,Breakfast
Veg Kofta Curry,410.0,10.25,25.62,26.14,0.0,0.0,Veg,Lunch/Dinner
Suji Halwa,252.0,5.04,40.32,8.06,77.5,31.248,Veg,Breakfast
Veg Pulao,337.0,10.11,61.78,10.11,65.0,40.157,Veg,Lunch/Dinner
Besan Ladoo,316.0,7.37,47.4,12.64,15.0,7.11,Veg,Breakfast
Chilla,148.0,7.89,19.73,3.95,15.0,2.9595,Veg,Breakfast
Chana Tikki,240.0,6.72,33.6,7.68,85.0,28.56,Veg,Breakfast
Paneer Bhurji,314.0,22.43,20.19,20.19,0.0,0.0,Veg,Breakfast
Tomato Rice,362.0,8.27,62.06,10.34,73.0,45.3038,Veg,Unknown
Dal Fry,205.0,9.76,29.29,4.88,10.0,2.929,Veg,Lunch/Dinner
Pulao,333.0,8.32,57.23,9.37,65.0,37.1995,Non-Veg,Lunch/Dinner
Khoya Mawa,457.0,9.14,57.12,28.56,55.0,31.416,Veg,Breakfast
Pakora,307.0,8.19,35.82,15.35,75.0,26.865,Non-Veg,Breakfast
Boondi Raita,154.0,4.28,17.11,5.13,30.0,5.132999999999999,Veg,Unknown
Sabudana Khichdi,327.0,5.61,56.06,6.54,51.0,28.5906,Veg,Breakfast
Vegetable Khichdi,280.0,13.44,44.8,8.96,0.0,0.0,Veg,Breakfast
Laal Maas,410.0,25.62,10.25,26.14,4.0,0.41,Non-Veg,Lunch/Dinner
Gajar Halwa,299.0,6.41,37.38,16.02,77.5,28.969500000000004,Veg,Breakfast
Malai Sandwich,256.0,7.17,30.72,12.29,75.0,23.04,Veg,Breakfast
Pineapple Raita,158.0,4.21,23.17,6.32,39.0,9.0363,Veg,Lunch/Dinner
Shrikhand,319.0,6.38,42.53,15.95,0.0,0.0,Veg,Breakfast
Chole Tikki,264.0,9.78,37.16,7.82,85.0,31.586,Veg,Breakfast
Masala Khichdi,308.0,8.66,48.12,7.7,17.5,8.421,Veg,Breakfast
Patra,212.0,5.3,31.8,8.48,50.0,15.9,Veg,Breakfast
Idli Sambar,258.0,6.19,46.44,6.19,85.0,39.474,Veg,Breakfast
Moong Dal Chilla,175.0,11.67,24.31,2.92,10.0,2.431,Veg,Breakfast
Carrot Paratha,236.0,6.16,35.91,8.21,47.0,16.877699999999997,Veg,Breakfast
Kaju Katli,295.0,5.09,35.6,15.26,15.0,5.34,Veg,Unknown
Veg Hakka Noodles,356.0,7.12,55.94,12.21,50.0,27.97,Non-Veg,Unknown
Shrimp Korma,328.0,22.16,10.64,17.73,0.0,0.0,Non-Veg,Lunch/Dinner
Chana Chaat,206.0,7.49,28.09,5.62,62.0,17.4158,Veg,Breakfast
Barfi,315.0,5.62,45.0,16.88,90.0,40.5,Non-Veg,Breakfast
Dal Bhati,271.0,10.84,36.13,6.32,10.0,3.613,Veg,Breakfast
Vegetable Dosa,340.0,7.77,48.57,11.66,50.0,24.285,Veg,Breakfast
Chole Rice,349.0,11.02,50.51,8.27,73.0,36.8723,Veg,Breakfast
Pineapple Kesari,290.0,5.37,48.33,10.74,39.0,18.8487,Veg,Breakfast
Vegetable Samosa,221.0,5.02,30.14,9.04,85.0,25.619,Veg,Breakfast
Kesar Pista Kulfi,346.0,5.93,39.54,17.79,50.0,19.77,Veg,Unknown
Aloo Gajar Methi,220.0,7.0,30.0,8.0,62.5,18.75,Veg,Breakfast
Masala Wontons,300.0,8.57,42.86,12.86,10.0,4.2860000000000005,Veg,Breakfast
Chana Chole,318.0,12.72,47.7,10.6,50.0,23.85,Veg,Breakfast
Apple Kheer,308.0,5.5,49.5,13.2,39.0,19.305,Veg,Breakfast
Papdi Chaat,241.0,4.82,33.74,8.68,65.0,21.931,Veg,Breakfast
Vegetable Pakora,296.0,7.14,40.83,12.25,25.0,10.2075,Veg,Breakfast
Laal Gobi Sabzi,188.0,4.18,26.11,8.36,62.5,16.31875,Veg,Lunch/Dinner
Turai (Ridge Gourd) Sabzi,137.0,3.42,22.83,5.71,45.0,10.2735,Veg,Breakfast
